"","Vu","gaut","meanI","maxI"
"1",0.2,0,0,0
"2",0.2,0.01,0.000197939510917731,0.00205962178206598
"3",0.2,0.02,0.000389861876991855,0.00411924356418081
"4",0.2,0.03,0.000588378734481354,0.0061788653403788
"5",0.2,0.04,0.00079708494671901,0.00823848712816672
"6",0.2,0.05,0.000995514510644839,0.0102981089097967
"7",0.2,0.06,0.00117794318327918,0.0123577306911361
"8",0.2,0.07,0.00137441344215898,0.0144173524696102
"9",0.2,0.08,0.00154174645561896,0.0164769742565426
"10",0.2,0.09,0.00159409993548713,0.0185365960386348
"11",0.2,0.1,0.00177081670361888,0.0205962178086172
"12",0.2,0.11,0.00194750328561588,0.0226558392409345
"13",0.2,0.12,0.00212416273211245,0.0247154613620175
"14",0.2,0.13,0.0023411872243347,0.0267750831623398
"15",0.2,0.14,0.00257842607781463,0.0288347049457677
"16",0.2,0.15,0.00279343592611002,0.0308943267302872
"17",0.2,0.16,0.00306353059051553,0.0329539484997972
"18",0.2,0.17,0.00316514808208349,0.0350135702921631
"19",0.2,0.18,0.00321083284340905,0.0370731920743868
"20",0.2,0.19,0.00318351650988686,0.0391328137738986
"21",0.2,0.2,0.00397117575201577,0.0411924356350259
"22",0.2,0.21,0.00416942733948337,0.0432520573323178
"23",0.2,0.22,0.00429941164830238,0.0453116792062588
"24",0.2,0.23,0.00449505732504303,0.0473713009477028
"25",0.2,0.24,0.00476511095241633,0.049430922762499
"26",0.2,0.25,0.00511828819774418,0.0514905445492787
"27",0.2,0.26,0.00468280481040665,0.053550166311527
"28",0.2,0.27,0.00418845083330132,0.0556097881100367
"29",0.2,0.28,0.0043438696735968,0.0576694098977919
"30",0.2,0.29,0.00454294455641991,0.0597290316802525
"31",0.2,0.3,0.00465494250341536,0.0617886534600708
"32",0.2,0.31,0.0047295897385631,0.063848275245183
"33",0.2,0.32,0.0050657737495555,0.0659078970272309
"34",0.2,0.33,0.00547646226546673,0.067967518809256
"35",0.2,0.34,0.0063336595614266,0.0700271405901084
"36",0.2,0.35,0.00652097209438037,0.0720867623720241
"37",0.2,0.36,0.00670848518110583,0.0741463841526005
"38",0.2,0.37,0.00689618551578153,0.0762060059246261
"39",0.2,0.38,0.00708408727655139,0.0782656277180277
"40",0.2,0.39,0.00727212443947512,0.0803252494905369
"41",0.2,0.4,0.00733596476390869,0.0823848712536663
"42",0.2,0.41,0.00713899409884407,0.0844444930646913
"43",0.2,0.42,0.00692612903178954,0.086504114846935
"44",0.2,0.43,0.00709029554060549,0.0885637365947521
"45",0.2,0.44,0.0073054329896339,0.0906233584118622
"46",0.2,0.45,0.00755398976661002,0.0926829801890167
"47",0.2,0.46,0.00759203454933726,0.0947426016494051
"48",0.2,0.47,0.00769666636482055,0.0968022232430058
"49",0.2,0.48,0.00778997542289651,0.0988618455353786
"50",0.2,0.49,0.00794299148885867,0.100921467276126
"51",0.2,0.5,0.00842001881906215,0.102981089105135
"52",0.2,0.51,0.00891030667557638,0.105040710884434
"53",0.2,0.52,0.00843958086321657,0.1071003326683
"54",0.2,0.53,0.00860541221814209,0.109159954412397
"55",0.2,0.54,0.00877159562644327,0.11121957622974
"56",0.2,0.55,0.00893808007386161,0.113279198011875
"57",0.2,0.56,0.00910486878263719,0.115338819783454
"58",0.2,0.57,0.00927195135838396,0.117398441280001
"59",0.2,0.58,0.00943934227461917,0.119458063360809
"60",0.2,0.59,0.00960705679781382,0.121517685049783
"61",0.2,0.6,0.00977518140957464,0.123577306851202
"62",0.2,0.61,0.00994352615762506,0.125636928704574
"63",0.2,0.62,0.009917687936031,0.127696550482672
"64",0.2,0.63,0.0110068812778982,0.129756172272405
"65",0.2,0.64,0.0112457032498404,0.131815791609665
"66",0.2,0.65,0.0113566652750592,0.133875415073662
"67",0.2,0.66,0.0116195420052876,0.135935037544379
"68",0.2,0.67,0.0118032639267974,0.137994659374474
"69",0.2,0.68,0.0118029982842728,0.140054281179031
"70",0.2,0.69,0.0119538103046022,0.142113902964954
"71",0.2,0.7,0.0121353003630674,0.144173524725787
"72",0.2,0.71,0.0123172112761113,0.146233146528182
"73",0.2,0.72,0.0122902080112977,0.148292768308326
"74",0.2,0.73,0.0119910345083686,0.150352390041662
"75",0.2,0.74,0.0112915957281225,0.152412005154935
"76",0.2,0.75,0.0113889794656586,0.154471633646497
"77",0.2,0.76,0.0108283745282694,0.156531255437868
"78",0.2,0.77,0.011710798345057,0.158590877191955
"79",0.2,0.78,0.0118727723711181,0.160650498980915
"80",0.2,0.79,0.0120339737958382,0.162710120783829
"81",0.2,0.8,0.012016533612805,0.164769742478613
"82",0.2,0.81,0.0126161081976418,0.16682936429897
