"","Vu","gaut","meanI","maxI"
"132",0.2,1.31,0.0176875881362906,0.269810453168976
"133",0.2,1.32,0.0182989182362056,0.27187007523518
"134",0.2,1.33,0.0184671367760672,0.273929696832914
"135",0.2,1.34,0.0186355421161793,0.275989318590518
"136",0.2,1.35,0.0188048602809762,0.278048940547644
"137",0.2,1.36,0.0189751230869972,0.28010856235779
"138",0.2,1.37,0.0191462869162451,0.282168184118838
"139",0.2,1.38,0.0193183125861027,0.284227805852503
"140",0.2,1.39,0.0199669924994824,0.286287427692708
"141",0.2,1.4,0.0211016327323232,0.28834704948427
"142",0.2,1.41,0.0212749335187734,0.290406671267104
"143",0.2,1.42,0.0214772062737553,0.292466293036575
"144",0.2,1.43,0.0217500944475337,0.29452591482838
"145",0.2,1.44,0.0208635691728743,0.296585536523909
"146",0.2,1.45,0.0210458208182839,0.298645158404712
"147",0.2,1.46,0.0212292550278046,0.30070478018502
"148",0.2,1.47,0.0219221021597,0.302764401955212
"149",0.2,1.48,0.0220833991475984,0.304824023750971
"150",0.2,1.49,0.0217853436547735,0.306883645349921
"151",0.2,1.5,0.0209264632754234,0.308943267309849
"152",0.2,1.51,0.020578215723381,0.31100288906939
"153",0.2,1.52,0.0207175637358828,0.313062510572745
"154",0.2,1.53,0.020391424631886,0.315122132615671
"155",0.2,1.54,0.0205605831232261,0.317181754438943
"156",0.2,1.55,0.0210685654100066,0.319241376193484
"157",0.2,1.56,0.0214611168479917,0.321300998006736
"158",0.2,1.57,0.0210870568977377,0.323360619781043
"159",0.2,1.58,0.0207043024987379,0.325420241431577
"160",0.2,1.59,0.0220041520936341,0.327479863352761
"161",0.2,1.6,0.0233220272548102,0.329539485089989
"162",0.2,1.61,0.0235213072162136,0.331599106894361
"163",0.2,1.62,0.0231390426223706,0.333658728697868
"164",0.2,1.63,0.0209916168277552,0.335718350478262
"165",0.2,1.64,0.0205762141282227,0.337777972220624
"166",0.2,1.65,0.0207466781165228,0.339837594041856
"167",0.2,1.66,0.0215153074446285,0.341897215796819
"168",0.2,1.67,0.0204791006704859,0.343956837611111
"169",0.2,1.68,0.0212526007481842,0.346016459374553
"170",0.2,1.69,0.0201986346075027,0.34807608117533
"171",0.2,1.7,0.020980561957797,0.350135702909803
"172",0.2,1.71,0.0205278674850462,0.352195324719382
"173",0.2,1.72,0.0206943511292848,0.354254946489105
"174",0.2,1.73,0.0214896198724399,0.356314568298695
"175",0.2,1.74,0.0216624552445536,0.358374190080643
"176",0.2,1.75,0.0211944007348109,0.360433811854183
"177",0.2,1.76,0.0213642963616039,0.362493433548867
"178",0.2,1.77,0.0215347185366047,0.364553055428597
"179",0.2,1.78,0.0223632084287225,0.366612677023676
"180",0.2,1.79,0.0222904006249476,0.368672298969156
"181",0.2,1.8,0.0226007924533898,0.370731920760923
"182",0.2,1.81,0.0226596613028546,0.372791542391558
"183",0.2,1.82,0.0225573942755606,0.374851164324699
"184",0.2,1.83,0.0225868168961188,0.376910786105118
"185",0.2,1.84,0.0227588546872496,0.378970407866984
"186",0.2,1.85,0.0229375403694917,0.381030029575174
"187",0.2,1.86,0.0231176031245182,0.383089651468791
"188",0.2,1.87,0.0232988631832432,0.385149273214275
"189",0.2,1.88,0.0234812945624942,0.387208895010603
"190",0.2,1.89,0.0236648967137211,0.389268516815237
"191",0.2,1.9,0.023849676447588,0.391328138583252
"192",0.2,1.91,0.0240356434537908,0.393387760381376
"193",0.2,1.92,0.0242228088063128,0.395447382160713
"194",0.2,1.93,0.0244111843653768,0.397507003833702
"195",0.2,1.94,0.0246007825129502,0.399566625727152
"196",0.2,1.95,0.0247916160415057,0.401626247499944
"197",0.2,1.96,0.0249836981487933,0.403685869121497
"198",0.2,1.97,0.0251770426116594,0.405745491043056
"199",0.2,1.98,0.025371665915678,0.407805112822281
"200",0.2,1.99,0.0255676123641941,0.40986473452193
"201",0.2,2,0.025764914304609,0.411924356402051
"202",0.2,2.01,0.0259651436235525,0.413983978124963
"203",0.2,2.02,0.0262878060837518,0.416043599820767
"204",0.2,2.03,0.0267676175773748,0.418103221750928
"205",0.2,2.04,0.027200515448155,0.420162843442367
"206",0.2,2.05,0.02757633530925,0.422222465312987
"207",0.2,2.06,0.0277927847454558,0.424282087086823
"208",0.2,2.07,0.0280061732130669,0.426341708891361
"209",0.2,2.08,0.0282208433740585,0.428401330632408
"210",0.2,2.09,0.0284369413039347,0.430460952455603
"211",0.2,2.1,0.0286545108722477,0.432520574170019
